Monthly Total Precipitation for SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO,,,,,,,,,,,,,,,,,,,,,,,,
For each month: monthly value and monthly number of missing days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
1900, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1901, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1902, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1903, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1904, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1905, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1906, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1907, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1908, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1909, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1910, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1911, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1912, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1913, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1914, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1915, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1916, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1917, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1918, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1919, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1920, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1921, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1922, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1923, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1924, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1925, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1926, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1927, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1928, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1929, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1930, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1931, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1932, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1933, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1934, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1935, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1936, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1937, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1938, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1939, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1940, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1941, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1942, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1943, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1944, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1945, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1946, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1947, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1948, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1949, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1950, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1951, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1952, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1953, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1954, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1955, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1956, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1957, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1958, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1959, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1960, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1961, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1962, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1963, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1964, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1965, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1966, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1967, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1968, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1969, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1970, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1971, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1972, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1973, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1974, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1975, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1976, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1977, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1978, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1979, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1980, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1981, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1982, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1983, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1984, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1985, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1986, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1987, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1988, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1989, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1990, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1991, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1992, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1993, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1994, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1995, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1996, M,31, M,29, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1997, M,31, M,28, M,31, M,30, M,31, M,30, M,31, M,31, M,30, M,31, M,30, M,31, M
1998, M,31, M,28, M,31, M,30, M,31, M,30,7.93,0,1.43,0,3.15,0,2.11,0,0.32,0,0.1,0, M
1999,0.63,0,0,0,1.12,0,6.35,0,3.06,0,0.54,0,1.42,0,1.18,0,2.14,0,2.82,0,0.01,0,0.02,0,19.29
2000,0.19,0,0.14,0,3.01,0,0.48,0,0.85,0,1.47,0,2.48,0,1.27,0,0.13,0,2.93,0,0.13,0,0.01,0,13.09
2001,1,0,0.39,0,1.09,0,0.46,0,2.94,0,1.49,0,3.04,0,1.44,0,0.58,0,0.13,0,0.57,0,0.22,0,13.35
2002,0.24,0,0.06,0,0.07,0,0.45,0,0.97,0,1.46,0,3.16,0,3.87,0,1.7,0,1.75,0,0.24,0,0.85,0,14.82
2003,0.12,0,0.37,0,1.41,0,2.01,0,2.96,0,3.66,0,1.13,0,1.45,0,0.42,0,0.01,0,0.4,0,0.16,0,14.1
2004,0.01,0,0.31,0,0.48,0,2.54,0,0,0,4.16,0,3.04,0,1.64,0,2.14,0,0.52,0,2.25,0,0.22,0,17.31
2005,0.9,0,0.79,0,1.23,0,1.07,0,3,0,0.64,0,0.77,0,3.18,0,0.2,0,1.09,0,0.25,0,0.05,0,13.17
2006,0.29,0,0,0,1.17,1,0.58,0,0.95,0,0.68,0,5.8,0,6.72,0,0.73,0,1.17,0,0.12,0,1.33,3,19.54
2007,0.32,0,0.49,0,1.33,0,1.5,0,0.52,0,1.28,0,0.69,0,1.14,0,1.65,0,0.07,0,0.03,0,0.43,0,9.45
2008,0.3,0,0.25,0,1.12,0,0.17,0,0.68,0,1.46,0,1.38,0,4.85,0,1.17,0,1.63,0,0.19,0,0.21,0,13.41
2009,0.01,0,0.42,0,0.68,0,1.79,0,0.35,0,0.97,1,6.21,0,1.09,0,2.24,0,3.31,0,0.2,0,0.1,0,17.37
2010,0.27,0,0.96,0,1.8,0,0.83,0,1.08,0,2.02,0,2.25,0,3.56,0,2.15,0,0.12,0,0.11,0,0.25,0,15.4
2011,0.36,2,0.1,0,0.2,0,0.28,0,0.23,0,1.24,0,0.64,0,0.98,0,0.42,0,0.39,0,0.87,0,1.87,0,7.58
2012,0.05,0,0.16,1,0.22,0,1.24,0,0.49,0,0.38,0,0.96,0,1.07,0,2.52,0,0.95,0,0,0,0.5,0,8.54
2013,0.04,0,0.11,0,0.17,0,0.39,0,1.29,0,1.74,0,3.73,0,2.29,0,3.5,0,0.26,0,0.75,0,0,0,14.27
2014,0.2,0,0.13,0,0.37,0,1,0,2.19,0,1.93,0,3.59,0,1.23,0,1.25,0,1.06,0,0.41,0,0.77,0,14.13
2015,1.04,0,0.8,0,0.38,0,0.85,0,4.5,0,0.86,0,3.22,0,1.12,0,0.16,0,0.75,0,0.47,0,0.09,0,14.24
2016,0.16,0,0.16,0,0.06,0,0.53,0,0.68,2,0.18,5,0.2,4,1.01,5,0.02,6,0.01,0,0.03,1,0.07,1,3.11
2017,0.18,1,0.01,0,0.02,3,5,0,4.58,0,0.54,0,5.08,0,1.7,0,3.26,0,0.37,0,0.07,0,0.04,0,20.85
2018,0.14,0,0.06,0,0.17,0,0.48,0,0.8,0,1.65,0,3.76,0,3.7,0,1.38,0,2.91,1,0.35,0,0.67,0,16.07
2019,0.65,1,0.61,0,2.37,0,0.27,0,2.92,0,3.47,1,0.43,0,1.87,0,0.14,0,0.57,0,0.34,0,0.59,0,14.23
2020,0.11,0,0.68,0,0.17,0,0.62,0,0.48,1,0.89,0,1.82,0,2.66,0,0.77,0,0.15,0,0.08,0,1.7,0,10.13
2021,0.48,0,0.36,0,1.33,6,0.21,0,5.29,0,0.34,0,4.74,0,1.64,0,0.06,1,0.09,0,0,0,0.02,1,14.56
Mean,0.33, ,0.32, ,0.87, ,1.27, ,1.77, ,1.44, ,2.81, ,2.17, ,1.33, ,1.05, ,0.34, ,0.43, ,13.83
Max,1.04, ,0.96, ,3.01, ,6.35, ,5.29, ,4.16, ,7.93, ,6.72, ,3.5, ,3.31, ,2.25, ,1.87, ,20.85
Min,0.01, ,0, ,0.02, ,0.17, ,0, ,0.18, ,0.2, ,0.98, ,0.02, ,0.01, ,0, ,0, ,3.11
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Study time period,
,,,,,,,,,,,,,,,,,,,,,,,,Min,3.11
,,,,,,,,,,,,,,,,,,,,,,,,Max,20.85
